LiefKWJ;Monat;LiefDatum;LiefZeitV;LiefZeitB;CVgId;Typ;LoAdrId;LoPlz;LoOrt;DspGrpKz;DspZenKz;AArtKz;ConTyp;CSAnz;CHAnz;FzgNr;Bez;Plz;Ort;AddDatum
2025;1;01.01.2025;;;8189637;Firma;2231785;25566;Lägerdorf;C;SME;T;C15KALK;1;1;SM343;;;;26.11.2024 11:14
2025;1;01.01.2025;;;8230253;Firma;2231785;25566;Lägerdorf;C;SME;T;C15KALK;1;1;SM343;;;;27.12.2024 07:24
2025;1;02.01.2025;;;8218849;Privat;2314239;25587;Münsterdorf;M;SME;H;M05;0;1;SM347;Sperrmüll zur Verwertung;25524;Itzehoe;16.12.2024 16:05
2025;1;02.01.2025;;;8222337;Firma;1792468;24113;Kiel;M;KIE;H;M10D;0;1;0499;Baustellenabfälle zur Vorbehandlung;24145;Kiel;18.12.2024 11:13
2025;1;02.01.2025;;;8222339;Privat;2314892;25348;Glückstadt;C;SME;H;C35;0;1;SM962;Sperrmüll zur Verwertung;25524;Itzehoe;18.12.2024 11:15
2025;1;02.01.2025;;;8226137;Firma;2206610;25348;Glückstadt;C;SME;H;C20;0;1;SM962;Baustellenabfälle zur Vorbehandlung;25524;Itzehoe;20.12.2024 11:28
2025;1;02.01.2025;;;8226138;Firma;2313822;22529;Hamburg;C;HH;H;C35SD;0;1;0230;Sperrmüll zur Verwertung;22525;Hamburg;20.12.2024 11:25
2025;1;02.01.2025;;;8228656;Firma;2281566;20359;Hamburg;M;HH;H;M10D;0;1;0263;Baustellenabfälle zur Vorbehandlung;22525;Hamburg;23.12.2024 08:27
2025;1;02.01.2025;;;8230514;Firma;2314419;24143;Kiel;C;KIE;H;C15;0;1;0485;Sperrmüll zur Verwertung;24145;Kiel;27.12.2024 10:39
2025;1;02.01.2025;;;8231077;Firma;1990032;25572;Kudensee;M;SME;H;M05;0;1;SM347;Buschwerk und Gartenabfälle;25524;Itzehoe;27.12.2024 13:46
